,scale,background,sld,sld_solvent,radius,radius_pd,radius_pd_n,radius_pd_nsigma,length,length_pd,length_pd_n,length_pd_nsigma,theta,theta_pd,theta_pd_n,theta_pd_nsigma,phi,phi_pd,phi_pd_n,phi_pd_nsigma,up_frac_i,up_frac_f,up_angle,sld_M0,sld_mtheta,sld_mphi,sld_solvent_M0,sld_solvent_mtheta,sld_solvent_mphi,radius_pd_type,length_pd_type,theta_pd_type,phi_pd_type
0,0.5919366413279181,0.0005887697980129305,4.021985072479354,0,59.43044657793735,0.10742344484895341,35.0,3.0,2733.444594541388,0.09873020593762259,35.0,3.0,60,0.1589312221197789,35.0,3.0,60,0.09283702914730792,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,uniform,gaussian,rectangle
1,0.37093666417698323,0.0006441934205968507,7.601963149615608,0,59.43044657793735,0.024913485609432785,35.0,3.0,1738.3277778349445,0.13715009536095255,35.0,3.0,60,0.05180249984643553,35.0,3.0,60,0.036755906641339986,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,rectangle,gaussian,schulz
2,0.11168263891392682,0.0009989885053498656,13.704458940261873,0,59.43044657793735,0.1197468866939345,35.0,3.0,6369.4262461105955,0.10571726791743428,35.0,3.0,60,0.06803566979290869,35.0,3.0,60,0.10073969303054918,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,gaussian,rectangle,gaussian
3,0.32232164571135824,0.0004343644174284025,0.31013448454471126,0,59.43044657793735,0.18346440380564602,35.0,3.0,1659.2771746850772,0.13043522817046496,35.0,3.0,60,0.061319031763947866,35.0,3.0,60,0.020016717163606645,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,uniform,gaussian,gaussian
4,0.5774510380086659,0.0009423478448244719,14.703104598486137,0,59.43044657793735,0.1195641509335098,35.0,3.0,9687.702135820726,0.065480552746412,35.0,3.0,60,0.16646857202810883,35.0,3.0,60,0.06514598200728235,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,lognormal,uniform,uniform
5,0.26498381042175345,0.00014366796466897864,3.835445516101566,0,59.43044657793735,0.12205474538243331,35.0,3.0,10074.357898344013,0.06511144332631318,35.0,3.0,60,0.029977245659269694,35.0,3.0,60,0.13831922772591557,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,gaussian,gaussian,lognormal
6,0.05915191516529217,0.000514484398591786,13.17738511208679,0,59.43044657793735,0.06494678668458685,35.0,3.0,6848.210894477414,0.16584076319582974,35.0,3.0,60,0.0018956147922974287,35.0,3.0,60,0.19567749744181828,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,lognormal,rectangle,gaussian
7,0.8694937286749278,5.099981802054463e-05,12.824152432888038,0,59.43044657793735,0.1462050475800591,35.0,3.0,1261.1254224668617,0.025223180098955966,35.0,3.0,60,0.12399151658162214,35.0,3.0,60,0.10805644126752133,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,rectangle,rectangle,rectangle
8,0.6387866223368367,0.00078713603515904,12.769244912665188,0,59.43044657793735,0.0692110328941354,35.0,3.0,6217.439069356679,0.17864663421300822,35.0,3.0,60,0.0966685259063766,35.0,3.0,60,0.14049718657730878,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,rectangle,gaussian,uniform
9,0.8311582515306756,0.0004745057700995969,5.42577848909757,0,59.43044657793735,0.19300905668443966,35.0,3.0,4112.089946223342,0.07229673731517408,35.0,3.0,60,0.10211776304342807,35.0,3.0,60,0.0600400391083018,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,rectangle,schulz,rectangle
10,0.3306138580671498,0.0003813154178183765,6.238992885634915,0,59.43044657793735,0.03723049239217915,35.0,3.0,10913.800435408533,0.1421737592052677,35.0,3.0,60,0.06584602467414809,35.0,3.0,60,0.1667907250021487,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,schulz,rectangle,schulz
11,0.9223794688952759,0.0007159254282880339,14.876578450503244,0,59.43044657793735,0.17837518157704413,35.0,3.0,1332.9141950209078,0.15271363742817212,35.0,3.0,60,0.19062958160881352,35.0,3.0,60,0.05864081640555261,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,rectangle,gaussian,lognormal
12,0.7225082102372712,0.0009518001209196277,11.766774538517993,0,59.43044657793735,0.09658696349824124,35.0,3.0,126.0935929751378,0.14009107571671114,35.0,3.0,60,0.15984699497865312,35.0,3.0,60,0.055126101132182304,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,uniform,uniform,gaussian
13,0.06571210178936904,0.0002936674624220801,9.13905753013332,0,59.43044657793735,0.13470852278946263,35.0,3.0,8065.361673504329,0.05563286788522335,35.0,3.0,60,0.1256992011352095,35.0,3.0,60,0.1043927148136699,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,lognormal,gaussian,rectangle
14,0.6968061350347126,0.0006646603290495817,11.622957785614656,0,59.43044657793735,0.15993131311914607,35.0,3.0,2070.480957660346,0.006146025196588223,35.0,3.0,60,0.11399323025551931,35.0,3.0,60,0.11262599896132315,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,rectangle,lognormal,gaussian
15,0.030680479345686074,0.0008060179783074451,8.89608342894198,0,59.43044657793735,0.08484255295150096,35.0,3.0,4913.97375902714,0.12032874221946399,35.0,3.0,60,0.004607608729324242,35.0,3.0,60,0.13972227244858523,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,uniform,uniform,lognormal
16,0.1988497648431422,0.0007459294154021708,0.6837177252625021,0,59.43044657793735,0.010980126604877705,35.0,3.0,3908.153006806049,0.0728828222196152,35.0,3.0,60,0.13398394428807603,35.0,3.0,60,0.0535602694935651,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,rectangle,gaussian,gaussian
17,0.34458974871943193,0.0007598482097480906,7.645519804704107,0,59.43044657793735,0.11623446402221337,35.0,3.0,9453.436228373912,0.18716328239228575,35.0,3.0,60,0.09116565435063702,35.0,3.0,60,0.08783571303210412,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,gaussian,rectangle,lognormal
18,0.32525496238123996,0.00048191970355043035,6.6677084408399665,0,59.43044657793735,0.12715295272029695,35.0,3.0,2864.732300991713,0.17426009960696015,35.0,3.0,60,0.19161448423453056,35.0,3.0,60,0.19072364360865857,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,rectangle,rectangle,lognormal
19,0.06953507153138894,3.946941948312751e-05,7.065200970035235,0,59.43044657793735,0.15292670112117057,35.0,3.0,2810.303108335844,0.012033315477576757,35.0,3.0,60,0.13915985803971065,35.0,3.0,60,0.10083051520865377,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,rectangle,uniform,uniform
