,scale,background,sld,sld_solvent,radius_polar,radius_polar_pd,radius_polar_pd_n,radius_polar_pd_nsigma,radius_equatorial,radius_equatorial_pd,radius_equatorial_pd_n,radius_equatorial_pd_nsigma,theta,theta_pd,theta_pd_n,theta_pd_nsigma,phi,phi_pd,phi_pd_n,phi_pd_nsigma,up_frac_i,up_frac_f,up_angle,sld_M0,sld_mtheta,sld_mphi,sld_solvent_M0,sld_solvent_mtheta,sld_solvent_mphi,radius_polar_pd_type,radius_equatorial_pd_type,theta_pd_type,phi_pd_type
0,0.965264615826604,0.0005780541621900018,10.999264679408526,,962.3594570429799,0.12476752777455707,35.0,3.0,761.984036600537,0.055544739954160274,35.0,3.0,60,0.18941296779452255,35.0,3.0,60,0.07060025664973979,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,schulz,uniform,rectangle
1,0.6237732246709311,0.0003658883742322151,8.799241380279712,,962.3594570429799,0.06872515774204345,35.0,3.0,54.7054861891769,0.039642310148170705,35.0,3.0,60,0.04857715573140749,35.0,3.0,60,0.04110072130013387,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,gaussian,uniform,lognormal
2,0.1790527131721802,0.0002916595005782595,7.769663463008359,,962.3594570429799,0.17805089252730533,35.0,3.0,357.9121774306936,0.05332161446291975,35.0,3.0,60,0.09813033518619096,35.0,3.0,60,0.17340347337866938,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,schulz,rectangle,schulz
3,0.9648422849531842,0.0004018026639440458,12.500699871791936,,962.3594570429799,0.05797499112853526,35.0,3.0,230.30703626709928,0.014549434170049103,35.0,3.0,60,0.06831966029160422,35.0,3.0,60,0.19263768900059722,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,lognormal,schulz,schulz
4,0.6097243671207632,0.0003570691453898068,4.552422307881987,,962.3594570429799,0.05041734326873959,35.0,3.0,499.57484282073307,0.11985556560631859,35.0,3.0,60,0.10491593001732165,35.0,3.0,60,0.08485691441877152,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,schulz,rectangle,uniform
5,0.21207555548171741,0.0006136825933586403,3.101362768062603,,962.3594570429799,0.09320430947172337,35.0,3.0,885.7062920562498,0.046797823512373715,35.0,3.0,60,0.13352561341171823,35.0,3.0,60,0.12463692767462992,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,lognormal,gaussian,gaussian
6,0.7761589620666658,0.00046691387894807595,8.89945298146464,,962.3594570429799,0.19733530657865128,35.0,3.0,896.4089134677209,0.043852911085906415,35.0,3.0,60,0.09863285104614797,35.0,3.0,60,0.01971528923523909,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,gaussian,schulz,rectangle
7,0.9640880262876029,0.0006398722574512207,11.291339520179015,,962.3594570429799,0.06902804171039023,35.0,3.0,303.3857747326339,0.029702316012767183,35.0,3.0,60,0.0006371474485283857,35.0,3.0,60,0.15851112281331814,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,rectangle,rectangle,rectangle
8,0.1232677561281399,0.0008087236933746169,13.719371957895268,,962.3594570429799,0.044867143074035304,35.0,3.0,524.7776125725719,0.08613479305595138,35.0,3.0,60,0.04473264078143744,35.0,3.0,60,0.15438581249179906,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,rectangle,lognormal,gaussian
9,0.9841103957624648,0.00022003164438940846,14.657556420414096,,962.3594570429799,0.12914235608889987,35.0,3.0,511.20360614423714,0.05119814752826255,35.0,3.0,60,0.1956552446793576,35.0,3.0,60,0.09756383297394743,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,gaussian,rectangle,schulz
10,0.7556328476325339,4.727758284506092e-05,10.765191777803569,,962.3594570429799,0.020582997989937502,35.0,3.0,236.35847180729738,0.041401380278446025,35.0,3.0,60,0.04163188332863948,35.0,3.0,60,0.13558456143332812,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,rectangle,uniform,schulz
11,0.68606667273715,0.0004444084415197781,13.023341320931571,,962.3594570429799,0.17517125000740608,35.0,3.0,885.7529497069977,0.10204726829058564,35.0,3.0,60,0.01437555129771524,35.0,3.0,60,0.0990546962645948,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,lognormal,lognormal,gaussian
12,0.6816670321509997,4.315878311351098e-05,14.857809419871614,,962.3594570429799,0.17770322778995787,35.0,3.0,53.57871127834522,0.11391689442458526,35.0,3.0,60,0.09455336710604992,35.0,3.0,60,0.10106115162575796,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,schulz,gaussian,gaussian
13,0.20820303548186758,0.00026070063586970237,9.6300108647175,,962.3594570429799,0.11327526716438158,35.0,3.0,28.823420930153972,0.19636778351686202,35.0,3.0,60,0.05860834507418176,35.0,3.0,60,0.05525505768795578,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,uniform,gaussian,rectangle
14,0.07945853111071988,0.0006963580121995954,0.15977871332258697,,962.3594570429799,0.19645560551177482,35.0,3.0,763.2619436063318,0.04855031318034349,35.0,3.0,60,0.09618895360966342,35.0,3.0,60,0.10989259931095273,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,rectangle,rectangle,lognormal
15,0.8290049838826786,0.00046108397485590644,2.556190125795289,,962.3594570429799,0.09732231880217748,35.0,3.0,79.09057766277218,0.1180742160806331,35.0,3.0,60,0.08817874265886186,35.0,3.0,60,0.018970107965223162,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,schulz,rectangle,rectangle
16,0.6512142433798707,0.00015670968298006402,11.302528886270135,,962.3594570429799,0.04158189511946262,35.0,3.0,277.15627111653026,0.11923826847109638,35.0,3.0,60,0.18232666477641407,35.0,3.0,60,0.11611122754769079,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,rectangle,uniform,uniform
17,0.3797129065306022,0.0002902703934422708,11.582389003596546,,962.3594570429799,0.04266460900822533,35.0,3.0,451.1230523261734,0.06773714885156555,35.0,3.0,60,0.14881999818200056,35.0,3.0,60,0.05069783325601132,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,lognormal,uniform,gaussian
18,0.28970611330175544,0.00040292777562575386,1.469191608001255,,962.3594570429799,0.10275240884876105,35.0,3.0,472.67384993412156,0.18720596163559555,35.0,3.0,60,0.012837089925914503,35.0,3.0,60,0.02170967608315373,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,lognormal,gaussian,uniform
19,0.21821269946377597,0.00040138459492814214,0.3705447614737434,,962.3594570429799,0.18600168491746255,35.0,3.0,754.1571281855605,0.1796938505046592,35.0,3.0,60,0.0528754049606284,35.0,3.0,60,0.14568609420321885,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,rectangle,lognormal,gaussian
20,0.23212144559451187,0.000576538912657816,10.263857560639346,,962.3594570429799,0.0058026088997079174,35.0,3.0,772.5734386729093,0.10929162372354002,35.0,3.0,60,0.15332752629577728,35.0,3.0,60,0.0003463553563695987,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,gaussian,lognormal,schulz
21,0.0431269883372144,0.00039797180097638917,4.771141817927812,,962.3594570429799,0.15536742614891993,35.0,3.0,824.0804510729621,0.061541158110935995,35.0,3.0,60,0.1864352296541452,35.0,3.0,60,0.13868738645505604,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,schulz,gaussian,lognormal
22,0.9952121460370454,0.0006941041702486527,4.876696958662384,,962.3594570429799,0.04357371865434232,35.0,3.0,634.8760674343672,0.16457465675905866,35.0,3.0,60,0.06133618982468403,35.0,3.0,60,0.05435585144296467,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,uniform,gaussian,uniform
23,0.1098604504451467,0.0008530103939265834,11.366338068651688,,962.3594570429799,0.19097860583734688,35.0,3.0,890.191865169381,0.15435626288237425,35.0,3.0,60,0.018499396616138686,35.0,3.0,60,0.17594542705870317,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,schulz,uniform,gaussian
24,0.23758985473681782,0.0007042784095524234,1.2454310986694983,,962.3594570429799,0.040786901199656535,35.0,3.0,445.68356283150774,0.009896013400113857,35.0,3.0,60,0.14049151499841592,35.0,3.0,60,0.11153526810215696,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,schulz,uniform,uniform
25,0.762691531741698,0.00031207755479638994,12.683269418327685,,962.3594570429799,0.07528922712959321,35.0,3.0,600.3640083906388,0.06418141212888372,35.0,3.0,60,0.018451407757704954,35.0,3.0,60,0.11530115918915865,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,gaussian,gaussian,schulz
26,0.5024212961421872,0.0003203400844582137,6.295493284522475,,962.3594570429799,0.04313841602715887,35.0,3.0,488.50937912031446,0.04984107909461262,35.0,3.0,60,0.09220134993305698,35.0,3.0,60,0.1956486477731787,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,uniform,uniform,rectangle
27,0.8349801364622212,0.0005462392733195021,1.4123971914171307,,962.3594570429799,0.10974800977597131,35.0,3.0,343.00252076714554,0.005537701410211149,35.0,3.0,60,0.17266038589465993,35.0,3.0,60,0.1890468163214567,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,uniform,rectangle,schulz
28,0.5690450175048941,0.0008129788929105682,2.503523617384925,,962.3594570429799,0.14968323978568954,35.0,3.0,491.4449589974681,0.1632634680200042,35.0,3.0,60,0.012367215747609683,35.0,3.0,60,0.012004148576544506,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,rectangle,rectangle,lognormal
29,0.7918670597009874,4.199070219518755e-05,4.274992073655851,,962.3594570429799,0.04403685979961709,35.0,3.0,616.1354335221957,0.040675630843034966,35.0,3.0,60,0.03104666968809826,35.0,3.0,60,0.15744166409629945,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,lognormal,lognormal,uniform
30,0.3054363087289784,0.0009395911622464755,4.878091101217017,,962.3594570429799,0.16209134458449434,35.0,3.0,528.5628489074098,0.19748571498535275,35.0,3.0,60,0.05736595775390585,35.0,3.0,60,0.08841670615720286,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,uniform,lognormal,gaussian
31,0.18880052199176678,0.0009608917591753778,2.942420422676152,,962.3594570429799,0.071335552976916,35.0,3.0,58.89742710291644,0.07256633606466745,35.0,3.0,60,0.0722005810153549,35.0,3.0,60,0.10624615085380927,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,gaussian,lognormal,rectangle
32,0.40898452961871357,0.0005708160253401783,4.320840663956272,,962.3594570429799,0.0803313549486524,35.0,3.0,797.7457537100676,0.17014263477217106,35.0,3.0,60,0.026276306274393393,35.0,3.0,60,0.19479779059444247,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,rectangle,schulz,uniform
33,0.17522014157199095,0.00018874668239116766,14.562279827939934,,962.3594570429799,0.1620621567624605,35.0,3.0,734.6086134034792,0.1360156609659606,35.0,3.0,60,0.1030923815166841,35.0,3.0,60,0.026014534951014537,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,rectangle,schulz,gaussian
34,0.2577536779991756,0.0007143146797911736,1.4288548908504377,,962.3594570429799,0.13403832424128184,35.0,3.0,99.44833260379377,0.03265530541481931,35.0,3.0,60,0.09244423640778299,35.0,3.0,60,0.10801193713467704,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,rectangle,uniform,rectangle
35,0.8005372303653535,0.0009593976998571205,4.473320183499113,,962.3594570429799,0.03673471908034829,35.0,3.0,926.38355020807,0.15810544842252214,35.0,3.0,60,0.06761894356161939,35.0,3.0,60,0.0623844382323991,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,lognormal,schulz,schulz
36,0.4342776273900537,0.0008734563253977234,1.2876381014099625,,962.3594570429799,0.026653971684791024,35.0,3.0,464.93244917009986,0.072992262342759,35.0,3.0,60,0.11846902123285447,35.0,3.0,60,0.0011426084718048734,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,gaussian,lognormal,lognormal
